match_id,home_team,away_team,outcome,home_density,home_diameter,home_transitivity,home_average_clustering,away_density,away_diameter,away_transitivity,away_average_clustering,home_score,away_score,home_density_1,home_density_2,home_density_3,home_transitivity_1,home_transitivity_2,home_transitivity_3,home_average_clustering_1,home_average_clustering_2,home_average_clustering_3,home_diameter_1,home_diameter_2,home_diameter_3,away_density_1,away_density_2,away_density_3,away_transitivity_1,away_transitivity_2,away_transitivity_3,away_average_clustering_1,away_average_clustering_2,away_average_clustering_3,away_diameter_1,away_diameter_2,away_diameter_3,winning_history_home,winning_history_away,losing_history_home,losing_history_away,tie_history_home,tie_history_away,avg_goals_home,avg_goals_away,pair_win_home,pair_win_away,pair_tie
101,Girona,Celta Vigo,home_team_winner,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Barcelona,Real Madrid,away_team_winner,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Cádiz,Sevilla,tie,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Rayo Vallecano,Real Sociedad,tie,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Atlético Madrid,Alavés,home_team_winner,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Almería,Las Palmas,away_team_winner,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Mallorca,Getafe,tie,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Real Betis,Osasuna,home_team_winner,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Athletic Club,Valencia,tie,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Granada ,Villarreal,away_team_winner,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Las Palmas,Atlético Madrid,home_team_winner,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Real Betis,Mallorca,home_team_winner,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Real Sociedad,Barcelona,away_team_winner,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Valencia,Granada ,home_team_winner,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Real Madrid,Rayo Vallecano,tie,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Osasuna,Girona,away_team_winner,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Celta Vigo,Sevilla,tie,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Alavés,Almería,home_team_winner,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Villarreal,Athletic Club,away_team_winner,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Getafe,Cádiz,home_team_winner,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Athletic Club,Celta Vigo,home_team_winner,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Almería,Real Sociedad,away_team_winner,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Granada ,Getafe,tie,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Barcelona,Alavés,home_team_winner,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Atlético Madrid,Villarreal,home_team_winner,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Rayo Vallecano,Girona,away_team_winner,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Osasuna,Las Palmas,tie,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Real Madrid,Valencia,home_team_winner,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Sevilla,Real Betis,tie,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,